NX,dx,time_step,L2_error,lgR,lgE,fin,memory,runtime
64,0.0078125,0.000154548901059,9.48554765138e-09,-8.775,-18.4734964965,8.00006931438,137280,22.07
64,0.0078125,0.000192459464584,2.84697924695e-08,-8.555625,-17.3744222251,8.00015502382,137280,17.811
64,0.0078125,0.000238358581068,1.77548934099e-08,-8.341734375,-17.846604674,8.00002905637,137280,14.5
64,0.0078125,0.000293629727213,5.7393875685e-08,-8.13319101563,-16.6733282347,8.00023554764,137280,11.777
64,0.0078125,0.000359836340273,6.9445933743e-08,-7.92986124023,-16.4827173189,8.00024135329,137280,9.709
64,0.0078125,0.000438735115201,9.6505798996e-08,-7.73161470923,-16.1536627372,8.00033482568,137280,8.026
64,0.0078125,0.000532288809196,1.07347628492e-07,-7.5383243415,-16.0471934042,8.00030080221,137280,6.751
64,0.0078125,0.000642678323783,9.06803124226e-08,-7.34986623296,-16.215925566,8.00005977445,137280,5.767
64,0.0078125,0.00077231382835,1.62376357754e-07,-7.16611957714,-15.6333490001,8.00039894788,137280,4.775
64,0.0078125,0.000923844687374,2.0212525263e-07,-6.98696658771,-15.4143782692,8.00049499266,137280,4.042
64,0.0078125,0.0011001679566,2.21202328784e-07,-6.81229242302,-15.3241880394,8.00042138039,137280,3.442
64,0.0078125,0.00130443522137,2.08869508705e-07,-6.64198511244,-15.3815561402,8.00010121269,137280,2.972
64,0.0078125,0.00154005756308,3.21829344083e-07,-6.47593548463,-14.9492444192,8.00059904022,137280,2.595
64,0.0078125,0.00181070845712,5.02862925279e-07,-6.31403709751,-14.5029482183,8.00152067201,137280,2.25
64,0.0078125,0.00212032442769,6.40968157047e-07,-6.15618617008,-14.2602860583,8.00210439012,137280,1.958
